Firma,Website,Phone,Linkedin Link,Kurzurteil,Firmenbeschreibung,Negativpunkt,Manuav-Score,Reasoning
Tradar,www.tradarsports.com/en/,,https://www.linkedin.com/company/tradar/,"Eher aussortieren — Tradar ist eine B2C-/Crowd-/Investor-Plattform mit stark spekulativem, konsumbezogenem Modell, nicht ein typisches B2B-SaaS oder Service-Produkt mit stabilen Geschäftskunden. Damit passt sie kaum zu Manuavs typischem Fokus auf B2B-Leadgenerierung.","Tradar vermarktet sich als „Sports-Investment-Plattform“, bei der User „Player Tokens“ – also digitale Token, die Fußballspieler repräsentieren – kaufen und handeln können. Der Wert der Token soll laut Plattform die reale Leistung der Spieler widerspiegeln. 
Boswin77
+2
Boswin77
+2

Die Idee: Fans und Sportinteressierte investieren in Fußballer-Tokens, ähnlich wie bei Fantasy Sports / Token-Trading — nicht klassische Firmenkunden. 
Munich Startup
+2
Boswin77
+2

Tradar ist 2021 gegründet worden und hat zuletzt eine Finanzierungsrunde über mehrere Millionen Euro erhalten. 
CB Insights
+1

Die Plattform befindet sich aktuell im Beta-Status und richtet sich primär an Endkunden bzw. Privatanleger, nicht an Geschäftskunden oder Unternehmen.","Das Geschäftsmodell ist spekulativ, konsumorientiert und klar B2C – das passt nicht zu Manuavs Standard-Segment (skalierbare B2B-Leadgenerierung für andere Unternehmen).",2,"B2B-Status: ✘ nein — Tradar richtet sich an Endnutzer / Fans / Privatpersonen, nicht an Firmen oder institutionelle Kunden.

Zielgruppengröße (für Manuav): ❗ schwer einzuordnen — Privatnutzer sind zwar zahlreich, aber nicht die Zielgruppe für klassische B2B-Cold-Calls.

Innovationsgrad / Differenzierung: ✔ spannend & innovativ im Bereich Sport/Entertainment & Tokenisierung — aber nicht relevant für B2B-Sales.

Red-Ocean-Faktor: hoch — Markt für Blockchain-/Sport-/Fan-Investments ist volatil, mit vielen Risiken und starker Konkurrenz (andere Token-/Fantasy-Plattformen, Sportwetten).

Economic Logic / Dealstruktur: unstetig — Einnahmen basieren auf Einzelpersonen und spekulativen Käufen/Verkäufen, nicht auf stabilen Business-Verträgen.

Onboarding-/Skalierbarkeit (via Manuav): kompliziert bzw. nicht relevant — Kein klares B2B-Customer-Journey; kein Bedarf für Leadgenerierung via Unternehmen.

Telefon-/Cold-Call-Pitch-Potenzial: Sehr gering — Zielgruppe sind individuelle Nutzer, nicht Unternehmen mit definierbaren Entscheidern.

Risiken / Regulatorik: Finanz-/Investment-Charakter (Token), hoher regulatorischer und reputationaler Aufwand; volatile Marktbedingungen; hohe Unsicherheit, ob Nutzer langfristig aktiv bleiben."
Integral,integral.de/en,,https://www.linkedin.com/company/getintegral,"Geeignet — Integral bietet ein modernes, skalierbares B2B-Angebot für kleine und mittlere Unternehmen, mit gutem Wachstum und klarer Pain-Point-Relevanz.","Integral ist ein in Berlin ansässiges FinTech-/SaaS-Startup, das eine AI-gestützte Plattform für Steuerberatung, Buchhaltung und Lohnabrechnung anbietet — primär für KMU und Startups (typischerweise GmbH/UG im Dienstleistungssektor). 
integral.de
+2
integral.de
+2

Im Februar 2025 hat das Unternehmen eine Finanzierung über €6,3 Mio abgeschlossen, um Produktentwicklung und Team auszubauen. 
integral.de
+1

Ihre Vision: Steuer-, Buchhaltungs- und Payroll-Prozesse vollständig digital, automatisiert und mit persönlichem Steuerberater-Support zu gestalten.",Der Fokus liegt stark auf deutschen KMU — das könnte die Zielgruppengröße und Skalierbarkeit außerhalb Deutschlands beschränken.,8,"B2B-Status: Integral ist klar ein B2B-Unternehmen: Sie bieten ihre Plattform ausschließlich Unternehmen (KMU / Startups), nicht Endkunden. → sehr stark.

Zielgruppengröße: Der Markt für KMU (insbesondere Dienstleistungs-GmbH/UGs) in Deutschland ist groß; durch digitales Angebot und einfache Skalierung dürfte die Zielgruppe sehr ausreichend sein.

Innovationsgrad: Hoher Grad — AI-gestützte Automatisierung kombiniert mit menschlicher Steuerberater-Expertise; moderne SaaS-Plattform statt klassische Steuerberatung. → Pluspunkt.

Red-Ocean-Faktor: Einige Konkurrenz im Bereich digitaler Buchhaltung/Steuerberatung — aber Kombination aus Automation + persönlicher Beratung + Komplette Plattform ist differenzierend, also moderate Red-Ocean Gefahr.

Economic Logic / Dealgröße: KMU mit Bedarf an Outsourcing von Buchhaltung und Payroll sind in der Regel bereit, laufende Gebühren zu zahlen — stabile recurring revenue Basis.

Onboarding-Kapazität: Das fertige Produkt + definierter Onboarding-Prozess („free initial consultation“, einfache Tool-Anbindung) spricht für gute Onboarding-Tauglichkeit. 
integral.de
+1

Telefonpitch-Potenzial: Klar vorhanden — Entscheidungsträger (Gründer / Geschäftsführer / CFO) von kleinen/mittleren Firmen könnten für Outsourcing und Automatisierung sehr offen sein, da Steuern/Buchhaltung oft als notwendiges Übel empfunden werden.

Risiken / Einschränkungen: Schwerpunkt auf deutsche Firmen — Internationalisierung könnte limitiert sein. Wenn Manuav stark griechische oder anderssprachige Firmen adressiert, müsste Integrals Fokus passen."
Claro,getclaro.ai,,https://www.linkedin.com/company/claro-ai,"Geeignet — Claro AI ist ein junges, hochinnovatives B2B-SaaS-Startup mit klarem Marktbedarf und gutem Wachstumspotenzial.","Claro AI mit Sitz in Berlin wurde 2024 gegründet und bietet eine „AI Master Data Platform“ an: Sie hilft Unternehmen, unstrukturierte oder fragmentierte Daten — z. B. Produktkataloge, Lieferantendaten, Compliance-Dokumente — automatisiert zu klassifizieren, zu standardisieren, anzureichern und deduplizieren. Damit adressiert Claro ein klassisches Problem vieler Unternehmen, insbesondere im E-Commerce, Handel, Supply Chain und Beschaffung. 
getclaro.ai
+2
getclaro.ai
+2

Laut aktueller Zahlen soll Claro AI 2025 mit vier Mitarbeitern bereits etwa 440.000 USD Umsatz erzielt haben.",Sehr junge Organisation mit kleinem Team — Onboarding-Aufwand und Abhängigkeit von wenigen Schlüsselpersonen könnten ein Risiko darstellen.,7,"B2B-Status: Klar B2B — die Plattform richtet sich an Unternehmen, nicht Endkunden. → großer Pluspunkt.

Zielgruppengröße: Der Bedarf für Daten-Harmonisierung und -Enrichment ist bei vielen Firmen (E-Commerce, Handel, Supply Chain, Hersteller, Großhandel etc.) vorhanden — gute Zielgruppengröße.

Innovationsgrad: Hoch — KI-gestützte Datenaufbereitung und Automatisierung von Data-Ops sind aktuell stark nachgefragt und technologisch anspruchsvoll.

Red-Ocean-Faktor: Der Markt für „Data Enrichment / Master Data Management“ ist kompetitiv, aber durch smarten AI-Ansatz + Automatisierung/Nutzerfreundlichkeit hat Claro Differenzierung — moderate Red-Ocean-Gefahr.

Economic Logic / Dealgröße: Unternehmen mit großen Katalogen oder vielen Lieferanten (z. B. Händler, Distributoren, Marken-Firmen) könnten bereit sein, SaaS-Gebühren zu zahlen — gute recurring-revenue-Chancen.

Onboarding-Kapazität: Der Einstieg mit kostenlosem Starter-Plan und Self-Serve-Option spricht für niedrigen Onboarding-Aufwand. 
getclaro.ai
+1

Telefonpitch-Potenzial: Entscheidungsträger (z. B. E-Commerce-Manager, Supply Chain Leiter, IT/Data-Leiter) dürften affin für Lösungen zur Daten-Automatisierung sein — gutes Pitch-Potenzial.

Risiken / Einschränkungen: Kleinteam und frühe Phase können Wachstum und Skalierung limitieren; möglicherweise starke Betreuung nötig bei Onboarding."
Libra,libratech.ai/,,https://www.linkedin.com/company/libratechnology,"Eher aussortieren — Libra ist zwar ein modernes B2B-Legaltech mit viel Potenzial, passt aus Manuav-Perspektive aber nur eingeschränkt wegen kleiner Zielgruppe, stark spezialisierter Nische und hoher Marktkonkurrenz.","Libra bietet mit seinem Produkt Libra eine KI-basierte „Workspace“-Plattform für juristische Professionals: Research, Dokumentenerstellung, Vertrags-Review und Workflow-Automatisierung. 
libratech.ai
+2
Legaltech Hub
+2

Das Unternehmen mit Sitz in Berlin wurde 2023 gegründet und hat laut Quellen 2025 einen Exit — Übernahme durch Wolters Kluwer — abgeschlossen. 
Tracxn
+1

Libra gibt an, dass > 700 Rechtsabteilungen / Kanzleien und > 9.000 Juristen weltweit die Plattform nutzen.","Die Zielgruppe (Rechtskanzleien, Legal Departments) ist relativ klein und stark spezialisiert — das reduziert das Potenzial für klassische Manuav-Vertriebsansätze.",5,"B2B-Status: Ja — Libra richtet sich klar an Firmen/Kanzleien, nicht Konsumenten. → positiver Faktor.

Zielgruppengröße: Begrenzt — nur Kanzleien und Legal Departments, kein breiter Mittelstand oder KMU-Alltag. Das limitiert den adressierbaren Markt stark.

Innovationsgrad: Hoch — KI-gestützte Legal-Workflow-Automatisierung, moderne LegalTech-Anwendung, auch mit Word-/Outlook-Integration etc. → gutes technologisches Profil. 
libratech.ai
+2
Legaltech Hub
+2

Red-Ocean-Faktor: Sehr hoch — Der Markt für LegalTech (KI-gestützte Vertragsanalyse, Dokumenten-Review etc.) ist hart umkämpft. Tatsächlich sind laut einer Übersicht 258 aktive Wettbewerber gelistet. 
Tracxn

Economic Logic / Dealgröße: Abhängig von Kanzleigröße — große Kanzleien könnten bereit sein, zu zahlen, kleinere ggf. weniger; Volumen und Wachstumspotenzial sind limitiert.

Onboarding-Kapazität: Technisch gut — Produkt ist fertig und einsatzbereit, dürfte mit Demo/Testphase relativ leicht onboardbar sein. 
libratech.ai
+1

Telefonpitch-Potenzial: Schwach — Die Ansprechpartner sind Juristen / Legal Heads — sie sind selten an Standard-Outsourcing/externem Vertrieb interessiert; eher an technischer Zusammenarbeit oder legaler Beratung.

Risiken / Einschränkungen: Nische: Legal-Tech ist ein spezialisiertes Segment; Übernahme durch Wolters Kluwer könnte strategische Prioritäten setzen, womit Innovativ-Plug-Ins schwerer zu verkaufen sind; stark umkämpfter Markt."
CERPRO,cerpro.io/,,https://www.linkedin.com/company/cerpro-gmbh,"Geeignet — CERPRO adressiert einen echten Pain-Point im industriellen Mittelstand, mit klarem B2B-Fokus und gutem Potenzial für recurring SaaS-Geschäft, was grundsätzlich zu Manuav passen kann.","CERPRO ist ein 2023 gegründetes Berliner Startup, das eine KI-gestützte SaaS-Plattform namens QualiSpec anbietet. Diese Software automatisiert die Erstellung von Prüf- und Qualitätskontrolldokumenten: technische Zeichnungen (PDF, DXF, JPG etc.) werden automatisch analysiert — Maße, Toleranzen, Bohrlöcher etc. erkannt — und Inhalte in Prüfpläne exportiert. Damit hilft CERPRO Fertigungs-KMU und Auftragsfertigern, Dokumentation und Qualitätssicherung dramatisch zu beschleunigen und Fehler durch manuelle Verarbeitung zu vermeiden. 
Cerpro GmbH
+2
startup-atlas.de
+2

2025 konnte CERPRO eine Pre-Seed–Finanzierung über rund €2 Mio sichern, um Produktentwicklung, Sales und europäische Expansion voranzutreiben. 
EU-Startups
+2
PR-Web
+2

Das Tool soll laut eigenen Angaben bei über 100 Fertigungsunternehmen in mehreren europäischen Ländern im Einsatz sein.","Aktuell noch sehr kleines Team und junges Unternehmen — mit entsprechend dünner Struktur und möglicher Volatilität, was Onboarding und Skalierung angeht.","7,5","B2B-Status: CERPRO richtet sich klar an Unternehmen (industrielle Fertiger, Auftragsfertiger, Zulieferer), nicht an Endverbraucher — top B2B-Fit.

Zielgruppengröße: Der adressierbare Markt ist der industrielle Mittelstand und Auftragfertigung — in Europa eine große Zielgruppe mit vielen potenziellen Kunden, insbesondere in Branchen mit hoher Präzision (Maschinenbau, Medizintechnik, Luftfahrt, Zuliefererkette).

Innovationsgrad: Hoch — Automatisierung von Dokumentation und Qualitätssicherung via KI bei komplexen technischen Zeichnungen ist ein klar differenzierender, technologisch anspruchsvoller Ansatz.

Red-Ocean-Faktor: Moderat — Während es grundsätzlich Softwarelösungen für Fertigung gibt, bleibt automatisierte Prüfreport-Erstellung mithilfe von AI in vielen KMU noch Nische; das reduziert Konkurrenzdruck etwas.

Economic Logic / Dealgröße: Für Kunden mit regelmäßigem Bedarf an Prüf- und Qualitätsdokumentation verspricht QualiSpec signifikante Zeit- und Kostenersparnis — SaaS-Gebühren dürften sich rechnen; gutes recurring-Revenue-Modell.

Onboarding-Kapazität: Die Lösung ist cloudbasiert und gemäss Website so gebaut, dass Upload → Analyse → Export funktioniert — das spricht für vergleichsweise unkompliziertes Onboarding auch bei KMU. 
Cerpro GmbH
+2
startup-atlas.de
+2

Telefonpitch-Potenzial: Hoch — Zielpersonen (Geschäftsführer, Produktionsleiter, QA-Leiter bei Fertigungsbetrieben) sind oft offen für Effizienzsteigerung & Automatisierung; konkreter Nutzen (Zeit- & Fehlerreduktion) lässt sich klar kommunizieren.

Risiken / Einschränkungen: Junges Unternehmen & kleines Team — Stabilitätsrisiko und evtl. limitiertes Wachstum; Abhängigkeit von Industriekunden, deren Investitionszyklen und Volumen schwanken; mögliche Hürden bei internationalen Kunden (z. B. Sprach-/Zertifizierungsanforderungen)."
Kodex AI,kodex-ai.com,,https://www.linkedin.com/company/kodexai,"Eher aussortieren — Kodex AI ist zwar ein modernes RegTech / Compliance-SaaS mit starkem KI-Fokus, aber durch die kürzliche Übernahme und den sehr engen Fokus auf Finanz-/Regulierungsbranche ist das Potenzial für schematische Manuav-Leads begrenzt.","Kodex AI war ein in Berlin ansässiges Startup, spezialisiert auf „Agentic Compliance“: Ihre Plattform nutzte speziell feingetunte Large Language Models und AI-Agenten, um regulatorische Texte und Anforderungen für Finanzinstitute automatisch zu identifizieren, zu analysieren und in Compliance-Workflows zu überführen. 
Kodex AI
+2
Craft.co
+2

Kodex AI wurde 2022 gegründet. Im Jahr 2023 erhielt das Unternehmen eine Seed-Finanzierung von etwa €1.6 Mio durch unter anderem Deutsche Bank (im Rahmen ihres Entrepreneur-in-Residence-Programms), Signals VC, sowie weitere Investoren. 
Kodex AI
+2
Kodex AI
+2

Im Oktober 2025 wurde Kodex AI vom globalen Compliance/Risk-Plattformanbieter CUBE übernommen — die Technologie und das Team von Kodex AI werden nun Teil von CUBE’s RegTech-Plattform.","Durch die Übernahme von Kodex AI durch CUBE und den damit verbundenen Integrationsprozess ist die Firma nicht mehr ein unabhängiges, agil ansprechbares Startup — was Manuav-Outreach und Leadgenerierung erheblich erschwert.",4,"B2B-Status: Ja — Kodex AI adressierte ausschließlich Unternehmen (Finanzinstitute, Banken, FinTechs) mit Compliance-Bedarf. → grundsätzlich B2B.

Zielgruppengröße: Limitierte Zielgruppe: vor allem große oder mittelgroße Finanzinstitute, FinTechs, Banken und Zahlungsdienstleister mit regulatorischem Compliance-Aufwand. Kein breiter Mittelstand oder andere Branchen.

Innovationsgrad: Hoch — Einsatz von „agentic AI“ und spezialisierten LLMs für Compliance und regulatorische Automatisierung ist technologisch fortschrittlich und differenzierend.

Red-Ocean-Faktor: Moderat bis hoch — RegTech / Compliance-Automation ist ein umkämpfter Bereich, viele Anbieter mit spezialisierten Tools und etablierte Anbieter im Markt.

Economic Logic / Dealgröße: Für Kunden, die stark reguliert sind, besteht hoher Bedarf — potenziell gute Zahlungsbereitschaft und stabile Verträge. Doch das Volumen beschränkt sich auf relativ wenige qualifizierte Institutionen.

Onboarding-Kapazität: Die Plattform war laut Hersteller auf einfache Integration und Compliance-Sicherheit (DSGVO, ISO-Zertifizierung, Self-hosting) ausgelegt — gute technische Onboarding-Voraussetzungen. 
Kodex AI
+2
Craft.co
+2

Telefonpitch-Potenzial: Gering — Compliance-Abteilungen großer Finanzinstitute entscheiden selten auf Basis externer Lead-Generation-Outreach-Services wie Manuav; der Entscheidungsprozess ist meist lang, institutionell und involviert viele Stakeholder.

Risiken / Einschränkungen: Mit der Übernahme durch CUBE ist Kodex AI kein eigenständiges Startup mehr — das heißt: weniger Flexibilität, weniger Bedarf für externe Neukundenansprache durch ein externes Lead-Gen-Team; Lead-Volumen wahrscheinlich sehr klein."
Zeeg,zeeg.me,,https://www.linkedin.com/company/zeeg,"Geeignet — Zeeg bietet ein B2B-SaaS-Produkt mit klarer Pain-Point-Relevanz und guter Skalierbarkeit, was aus Manuav-Lead-Generation-Perspektive attraktiv ist.","Zeeg ist ein Berliner Startup aus dem Jahr 2023, das eine „all-in-one Booking-CRM Plattform“ anbietet: Terminplanung + CRM + Automatisierung, kombiniert mit Funktionen wie Team-Scheduling, 24/7 Buchung, Follow-Ups, Zahlungsintegration (z. B. Stripe/PayPal), Kalender-Sync, Video-Meeting-Integration sowie GDPR-konformem Hosting in Deutschland. 
Zeeg
+2
htgf.de
+2

Mit der jüngsten Pre-Seed-Finanzierung über etwa €1.1 Mio (Leadinvestor: High-Tech Gründerfonds – HTGF) plant Zeeg, mit KI-gestützten Assistenten die Lead-Qualifikation und Vor-Vertrieb-Automatisierung zu verbessern. 
htgf.de
+1

Die Zielgruppe sind Unternehmen jeder Größe — von Einzelunternehmern und Freelancern über KMU bis hin zu Enterprise Teams — also grundsätzlich sehr breit.",Die breite Zielgruppe und generische SaaS-Funktion (Booking/CRM) führt zu hoher Konkurrenz und mäßiger Spezialisierung — dadurch kann der Wettbewerb intensiv sein und der Unique Benefit für Manuav-Outreach schwerer herausstechen.,8,"B2B-Status: Klar – Zeeg richtet sich an Firmen, Teams, Freelancer etc., nicht an Endverbraucher. → sehr guter Fit.

Zielgruppengröße: Groß — nahezu jede Art von Dienstleister, Agentur, Beratungsfirma, KMU oder Freelancer kann Bedarf haben. Das ergibt ein breites Markt-Potenzial.

Innovationsgrad: Solide — Kombination aus Terminplanung, CRM und Automatisierung + geplante KI-Assistenten für Lead-Qualifikation zeigen technologisches Potenzial und Differenzierung.

Red-Ocean-Faktor: Moderat bis hoch — Der Markt für Scheduling/CRM/Booking-Tools ist stark umkämpft (viele Anbieter). Jedoch mit GDPR-Fokus und europäischen Servern bietet Zeeg ein klares Differenzierungsmerkmal, was Wettbewerb teilweise abschwächt.

Economic Logic / Dealgröße: Gute recurring-Revenue-Chancen: SaaS-Subscription-Modell mit verschiedenen Preisplänen (von Free bis Enterprise), was gute Upsell-/Cross-sell-Möglichkeiten zulässt. 
Zeeg
+1

Onboarding-Kapazität: Hoch — laut Website sehr einfache Einrichtung, Cloud-basiert, mit Self-Serve und Integrationen. Für viele Unternehmen dürfte der Onboarding-Aufwand minimal sein. 
Zeeg
+1

Telefonpitch-Potenzial: Gut — Zielpersonen sind häufig Geschäftsführer, Vertriebs- oder Operations-Leiter bei Dienstleistern, Agenturen, KMU etc., also genau diejenigen, die über Tools zur Automatisierung von Buchungen & CRM entscheiden. Vorteil: konkreter Pain-Point (Scheduling-Chaos, verlorene Leads, ineffiziente Prozesse).

Risiken / Einschränkungen: Starker Wettbewerb; je nach Segment starke Preissensitivität — kleinere Firmen/Freelancer zahlen ggf. nur wenig, was das Upsell-Potential limitiert; Positionierung gegenüber etablierten Tools könnte herausfordernd sein."
ExoMatter,exomatter.ai/,,https://www.linkedin.com/company/exomatter/,"Eher aussortieren — ExoMatter ist ein sehr spezialisiertes Deep-Tech-/SaaS-Startup im Bereich Materialforschung; aus Manuav-Lead-Generation-Perspektive ist Zielgruppe und Ansprechbarkeit zu eng bzw. technisch zu spezialisiert, um hohen Outreach-Erfolg zu versprechen.","ExoMatter mit Sitz in München wurde 2022 als Spin-off des Deutsches Zentrum für Luft- und Raumfahrt (DLR) gegründet. 
ExoMatter
+2
DLR
+2

Das Unternehmen bietet eine KI-gestützte R&D-Plattform zur Materialentwicklung: Nutzer — typischerweise Forschungsteams oder Industrieunternehmen in Bereichen wie Batterie-Technologie, Halbleiter, Solar, Werkstoffentwicklung — können mit der Plattform aus Millionen von bekannten und hypothetischen Materialien diejenigen auswählen, die am besten zu ihren Anforderungen passen (Leistung, Kosten, Nachhaltigkeit etc.). 
ExoMatter
+2
ExoMatter
+2

Das Produkt umfasst Features wie einen „Materials Screening Engine“, Simulationen chemischer Reaktionen, Bewertung über einen proprietären „ExoMatter Score“ und Datenbank-Import bzw. Kombination mit firmeneigenen Datensätzen. 
ExoMatter
+2
ExoMatter
+2

Finanziell: Im Oktober 2024 erhielt ExoMatter eine Pre-Seed-Finanzierung über etwa €1,7 Mio. 
EU-Startups
+1
 Das Team zählt etwa 20–25 Mitarbeitende (je nach Quelle ~22).","Zielgruppe ist sehr spezialisiert — Materialforschungs- und Entwicklungsabteilungen bei Hightech-Fertigern und Industriekonzernen: Das schränkt stark ein, wie viele echte Leads es gibt und wie skalierbar ein manuav-Pitch sein kann.","4,5","B2B-Status: ✅ Ja — ExoMatter richtet sich klar an andere Unternehmen bzw. Forschungs-/Industrieorganisationen, nicht Endkunden.

Zielgruppengröße: ⛔ Klein⁄hoch spezialisiert — nur Unternehmen in Branchen mit Materialforschung oder Hightech-Fertigung (Batterien, Halbleiter, Chemie, etc.). Kein breiter Mittelstand oder generische KMU-Zielgruppe.

Innovationsgrad: ✅ Sehr hoch — Deep-Tech, AI + Materials Science, datengetriebenes Materials R&D: deutliche technologische Differenzierung und hoher Innovationsanspruch.

Red-Ocean-Faktor: Gering bis moderat — der Bereich ist spezialisert und Nischen-orientiert; Konkurrenz existiert, aber Markt bleibt überschaubar und mit hohen Eintrittsbarrieren.

Economic Logic / Dealgröße: Möglich — Unternehmen mit hohem Bedarf an Materialinnovation (z. B. Batteriehersteller, Automobilzulieferer, Hightech-Fertigende) dürften bereit sein, für hochwertige Materialdaten und Tools zu bezahlen, da Einsparungen bei Zeit, Entwicklungskosten und Nachhaltigkeit erheblich sein können.

Onboarding-Kapazität: Mittel — Die Plattform ist technisch anspruchsvoll und vermutlich mit spezifischem Fachwissen verbunden; Onboarding dürfte etwas aufwendiger sein als bei generischen SaaS-Tools.

Telefonpitch-Potenzial: Schwach bis mäßig — Zielpersonen sind wahrscheinlich Materialwissenschaftler, R&D-Leiter oder Ingenieure; sie sind selten empfänglich für klassische Vertriebs-Outreach, wenn nicht ein sehr konkreter Bedarf bzw. Projekt existiert.

Risiken / Einschränkungen: Sehr nische & technisch; Markt und Kundenkreis begrenzt — großer Aufwand für mitunter wenige potenzielle Unternehmen; schwer zu skalieren über viele Leads hinweg."
AnyTax,www.anytax.io,,https://www.linkedin.com/company/anytax-api,"Sehr geeignet — AnyTax bietet ein modernes, stark B2B-orientiertes FinTech/SaaS-Produkt mit deutlich skalierbarem Markt und hohem Automatisierungspotenzial — aus Manuav-Perspektive ein starker Kandidat für Leadgenerierung.","AnyTax ist ein seit 2024 in Berlin ansässiges Startup, das eine „embedded tax infrastructure“ — also steuerautomatisierte Infrastruktur — entwickelt und anbietet. 
Tracxn
+2
IBB Ventures
+2

Zielkunden sind Banken, FinTechs, Finanz-Apps, HR-Plattformen oder Steuer-/Finanzberater, die über API, SDK oder White-Label steuer- und steuercompliance-Funktionalitäten in ihre bestehenden Plattformen integrieren können. 
AnyTax
+2
AnyTax
+2

AnyTax automatisiert den gesamten Steuer-Prozess: von der Datenerfassung über automatische Ausfüllung bis hin zur Steuererklärung und Steuerprognose — inklusive Compliance, DSGVO, Sicherheit. 
AnyTax
+2
AnyTax
+2

Endnutzer sind u.a. Arbeitnehmer, Freelancer, Selbstständige und kleine Unternehmen – also ein sehr breites Spektrum an Anwendern. 
AnyTax
+1

Außerdem hat AnyTax im Oktober 2025 eine Pre-Seed-Finanzierung über ca. €1 Mio abgeschlossen, um ihre Plattform und Integrationen für Finanzplattformen voranzutreiben.",Der Markt für Embedded-FinTech/Tax-Infrastruktur ist bereits kompetitiv — laut Branchenprofil existieren mehrere hundert Mitbewerber.,9,"B2B-Status: ✅ Sehr klar — AnyTax richtet sich an Finanzplattformen, Banken, FinTechs oder Beraterfirmen und nicht an Endverbraucher direkt.

Zielgruppengröße: ✅ Groß — FinTechs, Banken, HR-Apps, Steuerberater und alle Unternehmen, die Finanz-/Payroll-/Banking-Services anbieten, können potenzielle Kunden sein. Der adressierbare Markt ist breit und skalierbar.

Innovationsgrad: ✅ Hoch — AnyTax modernisiert Steuerprozesse durch Automatisierung, API-/SDK-basiertes SaaS-Modell und Compliance-first-Ansatz. Steuer-Infrastructure als Embed-Service ist aktuell ein stark wachsendes Segment.

Red-Ocean-Faktor: ⚠️ Mittel — Es gibt viele Anbieter in Steuer-/FinTech-Infrastruktur, aber durch Fokus auf Embeddable Tax-Infrastructure, API/SDK/White-Label und Compliance können sie Differenzierung schaffen.

Economic Logic / Dealgröße: ✅ Sehr gut — Finanzplattformen sind oft bereit, für solche Integrationen zu zahlen, insbesondere wenn sie dadurch ihren Service erweitern und neue Kunden gewinnen; wiederkehrende Einnahmen (SaaS) wahrscheinlich.

Onboarding-Kapazität: ✅ Gut — AnyTax ist designed für einfache Integration via API/SDK/White-Label; das senkt Einstiegshürden für Kunden und passt gut zu standardisierten SaaS-Vertriebsprozessen.

Telefonpitch-Potenzial: ✅ Hoch — Entscheidungsträger bei Banken/FinTechs/HR-Plattformen sind typischerweise offen für neue Features, die Nutzerbindung und Differenzierung bringen — Steuer-Automatisierung ist ein klarer Mehrwert und gutes Thema für einen Sales-Pitch.

Risiken / Einschränkungen: Konkurrenzdruck durch viele Anbieter; für kleinere Plattformen oder Nischenmärkte könnten regulatorische Anforderungen oder Custom-Tax-Szenarien komplex sein; Markt vor allem in D/A/CH oder EU-Region — weniger relevant außerhalb dieser Jurisdiktionen."
Scenarium AI,scenarium.ai,,,"Eher geeignet — Scenarium AI ist ein junges, innovatives B2B-SaaS/Deep-Tech-Startup im Bereich Bau/Planung, mit gutem Wachstumspotenzial und klarer Pain-Point-Relevanz; allerdings mit gewissen Einschränkungen wegen Marktspezialisierung und frühem Entwicklungsstadium.","Scenarium AI mit Sitz in Berlin wurde 2023 gegründet und entwickelt eine browserbasierte, KI-gestützte Software für Gebäudeplanung — insbesondere für technische Gebäudeausrüstung (TGA), Planung und Elektrotechnik. 
scenarium.ai
+2
uvcpartners.com
+2

Die Plattform verspricht, normkonforme, kollisionsfreie und materialeffiziente Pläne innerhalb von Minuten statt Wochen zu generieren — mit dem Ziel, laut eigenen Angaben bis zu 69 % der Planungszeit bei Ingenieuren und Planungsbüros einzusparen. 
UnternehmerTUM
+2
uvcpartners.com
+2

Im November 2023 hat Scenarium eine Pre-Seed-Finanzierung über rund €1.6–1.74 Mio abgeschlossen, angeführt von UVC Partners und weiteren Angel-Investoren.","Das Produkt richtet sich stark auf Planung und Bauwesen — eine stark spezialisierte Nische, was die adressierbare Zielgruppe relativ klein und schwer skalierbar macht.","6,5","B2B-Status: ✅ Klar — Scenarium richtet sich an Firmen: Ingenieurbüros, Architekturbüros, Planer und Bauunternehmen.

Zielgruppengröße: ⚠️ Nische — Bau/Planung, insbesondere technische Gebäudeplanung, ist ein spezifischer Bereich; das reduziert den Pool potenzieller Firmen verglichen mit generischen SaaS-Zielgruppen.

Innovationsgrad: ✅ Hoch — KI-gestützte Automatisierung von Gebäude- und TGA-Planung ist technologisch anspruchsvoll und differenzierd gegenüber klassischen CAD-/BIM-Tools.

Red-Ocean-Faktor: Mittel — Der Markt für Bau-/Planungssoftware ist umkämpft, aber mit KI-Fokus + Automatisierung + Zeiteinsparung könnte Scenarium differenzieren.

Economic Logic / Dealgröße: Potenzial vorhanden — Bau- und Ingenieurbüros könnten bereit sein, für deutliche Effizienzsteigerung und Zeitersparnis zu bezahlen; wiederkehrende SaaS-Lizenzen sind denkbar.

Onboarding-Kapazität: Unsicher — Die Plattform zielt auf technisch anspruchsvolle Planungsprozesse; Einarbeitung und Integration in bestehende Planungsabläufe dürfte Aufwand bedeuten; das könnte Barriere sein.

Telefonpitch-Potenzial: Mäßig — Entscheider sind vermutlich Architekten, Büroinhaber oder technische Leiter in Bau/Planung; solche Zielgruppen sind erreichbar, aber eventuell weniger zahlreich und mit längeren Entscheidungszyklen.

Risiken / Einschränkungen: Frühphase (Seed + kleines Team), noch wenig Markt-Bekanntheit, Spezialisierung auf Bau/Planung; Wachstum und Skalierbarkeit könnten limitiert sein, besonders wenn sich Fokus auf spezialisierte Nischen beschränkt."
